imdb_votes,tmdb_popularity
2166,5.098
659,4.985
34111,40.382
5809,13.88
1276,4.789
117986,50.824
23917,16.617
2062,48.156
5633,8.311
75244,31.688
13308,8.3
9,0.891
13625,13.548
603,1.4
64449,32.434
105938,42.83
20242,11.935
30186,11.389
2782,7.559
20132,38.919
7585,9.543
2481,8.108
20706,33.222
54,0.645
1120,2.443
658,11.013
11656,2.509
14,1.297
723306,36.502
504,5.552
27148,33.47
19493,16.225
5509,14.054
143998,15.505
916,5.711
2731,11.004
3383,16.281
320,2.167
182,3.412
44715,11.622
61797,6.948
213,1.761
6,29.825
207,4.031
44751,18.959
4635,15.729
24676,6.772
344,1.4
2519,4.242
1793,3.264
1028,5.417
396,5.986
12825,11.642
2316,3.996
109,3.711
7297,4.497
29773,14.0
1066,5.135
294,1.943
17029,3.218
2460,46.384
44045,48.715
14501,24.212
1004,2.785
899,3.59
285,0.646
244,6.862
196,3.759
298168,18.355
50,2.123
285,2.527
2317,1.4
3333,5.547
2641,11.096
444,3.02
104894,19.167
11506,10.551
7333,7.365
1454,6.614
24456,9.246
1727,23.535
722,14.247
1850,7.942
494,1.827
1128,2.143
5019,4.011
219,1.03
1367,74.789
221,2.6
2020,15.055
30444,67.252
9701,49.579
4153,11.558
10210,36.942
159,11.194
119054,51.125
36359,20.316
84,1.503
44573,86.555
4699,3.162
234,1.655
13570,17.212
14046,12.498
3979,67.928
9823,9.904
190,3.153
180532,17.613
17525,10.68
4197,8.334
4482,17.929
4523,10.046
1073,6.951
3423,10.219
3219,10.312
17240,53.857
1975,9.155
3941,4.075
3410,19.913
179,6.394
2723,9.517
238,14.214
606,23.687
138,16.962
1911,23.148
27,32.203
191722,38.87
1612,33.642
4824,19.681
8451,19.619
4158,44.214
537,7.926
52,2.447
118,1.636
7884,3.325
18,1.174
3863,7.426
1796,2.709
49867,51.087
89755,23.64
3088,12.751
3552,13.579
2890,7.332
10392,41.602
11401,19.651
13476,15.127
13361,88.924
3838,3.931
111,9.315
226081,170.642
351,1.023
799,5.421
48435,33.885
391,14.353
6279,20.845
864,9.509
2165,3.149
1322,6.429
6810,8.409
8508,7.826
128,5.207
2556,14.865
38,46.539
2181,21.014
5967,21.0
5158,16.824
2328,2.211
25,0.738
293618,1215.393
